CODE,VALUE
0,No information
1,Stony
2,Lithic
3,Petric
4,Petrocalcic
5,Petrogypsic
6,Petroferric
7,Phreatic
8,Fragipan
9,Duripan
10,Saline
11,Sodic
12,Cerrado
13,Anthraquic
14,Gelundic
15,Gigai
16,Inundic
17,Placic
18,Rudic
19,Salic
20,Skeletic
21,Takyric
22,Yermic
23,Erosion
24,No limitation to agricultural use
25,Gravelly 
26,Concretionary 
27,Glaciers 
28,Soils disturbed by man 
29,Excessively drained
30,Flooded
